Data1:
0
1
13
A B C D E F G H I K L M N
B
0
0 1 0 0 0 0 1 0 0 0 1 0 1
1 0 0 1 0 1 1 0 1 0 0 1 0
0 0 0 0 0 0 0 0 0 0 1 1 0
0 1 0 0 1 0 0 0 0 0 0 0 0
0 0 0 1 0 0 0 0 0 0 0 0 0
0 1 0 0 0 0 0 0 0 0 0 0 0
1 1 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 1 0 0
0 1 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 1 0
1 0 1 0 0 0 0 1 0 0 0 0 0
0 1 1 0 0 0 0 0 0 1 0 0 0
1 0 0 0 0 0 0 0 0 0 0 0 0

****************************************** DFS ****************************************
	n = 0:
A N L H C M K G B I F D E   
B M K C L H I G F D E A N   -> OK
C M K B I G F D E A N L H
D E B M K C L H I G F A N
E D B M K C L H I G F A N
F B M K C L H I G D E A N
G B M K C L H I F D E A N
H L C M K B I G F D E A N
I B M K C L H G F D E A N
K M C L H A N G B I F D E
L H C M K B I G F D E A N
M K C L H A N G B I F D E
N A L H C M K G B I F D E
	n = 1:
A B D E F I M C K G L H N
B A L C H N D E F G I M K -> OK
C L A B D E F I G N H M K
D B A L C H N F G I M K E
E D B A L C H N F G I M K
F B A L C H N D E G I M K
G A L C M K H N B D E F I
H L A B D E F I M K G N C
I B A L C H N D E F G M K
K M B A L H N D E F G I C
L A B D E F I M K G N C H
M B A L H N D E F G I C K
N A B D E F I M C K G L H
*******************************************************************************************
0
1
20
00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19
	n = 0:
00 18 19 01 02 03 04 05 07 06 08 10 09 11 16 17 14 15 13 12
01 02 03 04 00 18 19 05 07 06 08 10 09 11 16 17 14 15 13 12
02 03 04 01 00 18 19 05 07 06 08 10 09 11 16 17 14 15 13 12
03 04 02 01 00 18 19 05 07 06 08 10 09 11 16 17 14 15 13 12
04 03 02 01 00 18 19 05 07 06 08 10 09 11 16 17 14 15 13 12
05 07 06 00 18 19 01 02 03 04 08 10 09 11 16 17 14 15 13 12
06 07 05 00 18 19 01 02 03 04 08 10 09 11 16 17 14 15 13 12
07 06 05 00 18 19 01 02 03 04 08 10 09 11 16 17 14 15 13 12
08 10 09 00 18 19 01 02 03 04 05 07 06 11 16 17 14 15 13 12
09 10 08 00 18 19 01 02 03 04 05 07 06 11 16 17 14 15 13 12
10 09 08 00 18 19 01 02 03 04 05 07 06 11 16 17 14 15 13 12
11 16 17 14 15 13 12 00 18 19 01 02 03 04 05 07 06 08 10 09
12 13 14 17 16 15 11 00 18 19 01 02 03 04 05 07 06 08 10 09
13 14 17 16 11 15 12 00 18 19 01 02 03 04 05 07 06 08 10 09
14 17 16 11 12 15 13 00 18 19 01 02 03 04 05 07 06 08 10 09
15 14 17 16 11 12 13 00 18 19 01 02 03 04 05 07 06 08 10 09
16 17 14 15 13 12 11 00 18 19 01 02 03 04 05 07 06 08 10 09
17 16 11 12 13 14 15 00 18 19 01 02 03 04 05 07 06 08 10 09
18 19 00 01 02 03 04 05 07 06 08 10 09 11 16 17 14 15 13 12
19 18 00 01 02 03 04 05 07 06 08 10 09 11 16 17 14 15 13 12
	n = 1:
00 01 02 03 04 18 19 17 14 13 12 11 15 16 10 08 09 07 05 06
01 00 18 19 02 03 04 17 14 13 12 11 15 16 10 08 09 07 05 06
02 01 00 18 19 03 04 17 14 13 12 11 15 16 10 08 09 07 05 06
03 02 01 00 18 19 04 17 14 13 12 11 15 16 10 08 09 07 05 06
04 03 02 01 00 18 19 17 14 13 12 11 15 16 10 08 09 07 05 06
05 06 07 19 18 00 01 02 03 04 17 14 13 12 11 15 16 10 08 09
06 05 07 19 18 00 01 02 03 04 17 14 13 12 11 15 16 10 08 09
07 05 06 19 18 00 01 02 03 04 17 14 13 12 11 15 16 10 08 09
08 09 10 19 18 00 01 02 03 04 17 14 13 12 11 15 16 07 05 06
09 08 10 19 18 00 01 02 03 04 17 14 13 12 11 15 16 07 05 06
10 08 09 19 18 00 01 02 03 04 17 14 13 12 11 15 16 07 05 06
11 12 13 14 15 17 16 19 18 00 01 02 03 04 10 08 09 07 05 06
12 11 16 17 14 15 13 19 18 00 01 02 03 04 10 08 09 07 05 06
13 12 11 16 17 14 15 19 18 00 01 02 03 04 10 08 09 07 05 06
14 13 12 11 16 15 17 19 18 00 01 02 03 04 10 08 09 07 05 06
15 14 13 12 11 16 17 19 18 00 01 02 03 04 10 08 09 07 05 06
16 11 12 13 14 15 17 19 18 00 01 02 03 04 10 08 09 07 05 06
17 14 13 12 11 15 16 19 18 00 01 02 03 04 10 08 09 07 05 06
18 00 01 02 03 04 19 17 14 13 12 11 15 16 10 08 09 07 05 06
19 18 00 01 02 03 04 17 14 13 12 11 15 16 10 08 09 07 05 06
*******************************************************************************************
